,text,Sentiment,Target_type
0,['vaksin'],positif,1
1,"['kenal', 'kebal', 'vaksin', 'bukti', 'manusia', 'juang', 'jaga', 'eksistensi', 'dunia', 'vaksin']",positif,1
2,"['sistem', 'data', 'dukung', 'vaksinasi', 'indonesia', 'vaksin', 'covid']",positif,1
3,"['terima', 'vaksin', 'covid', 'vaksinhalal', 'vaksinsiappropinsi']",positif,1
4,"['beda', 'vaksin', 'china', 'sinovac', 'sinopharm', 'merek', 'vaksin', 'perusahaanfarmasi']",positif,1
5,"['obat', 'selamat', 'nyawa', 'pasien', 'temu', 'infus', 'virus', 'wabah']",positif,1
6,"['vaksin', 'buat', 'tiongkok', 'orang', 'tua', 'suntik', 'nonton', 'video']",positif,1
7,"['kabar', 'duka', 'dokter', 'pribadi', 'paus', 'fransiskus', 'tinggal', 'akibat', 'vatikan', 'pausfransiskus']",positif,1
8,"['masker', 'bekas', 'rawan', 'tular', 'virus', 'pakai', 'masker', 'utk', 'cegah', 'maksimal', 'tular']",positif,1
9,"['top', 'news', 'koran', 'rakyat', 'merdeka', 'jelang', 'imlek', 'china', 'target', 'juta', 'warga', 'vaksin', 'china']",positif,1
10,"['lawan', 'covid', 'solidaritas', 'stigma', 'covid', 'viruscorona']",positif,1
11,"['vaksinasi', 'jaga', 'protokol', 'sehat', 'covid']",positif,1
12,"['sampurasun', 'wargi', 'jabar', '', 'yuk', 'wargi', 'lihat', 'daftar', 'sakit', 'terima', 'vaksin']",positif,1
13,"['aceh', 'salah', 'provinsi', 'terap', 'syariat', 'islam', 'warga', 'mereka']",positif,1
14,"['mari', 'siap', 'vaksinasi', 'vaksin', 'laksana', 'protokol', 'sehat', 'pakai']",positif,1
15,"['vaksinya', 'halal', 'yaa', 'vaksin', 'pandemi', 'indonesia']",positif,1
16,"['orang', 'suntik', 'vaksin', 'pandemi', 'indonesia']",positif,1
17,"['cegah', 'vaksin', 'pandemi', 'indonesia']",positif,1
18,"['status', 'halal', 'yaa', 'vaksin', 'pandemi', 'indonesia']",positif,1
19,"['harap', 'muncul', 'gelombang', 'pandemi', 'tiongkok', 'gratis', 'vaksin', 'warga']",positif,1
20,"['mui', 'pusat', 'tetap', 'vaksin', 'produksi', 'sinovac', 'halal', 'suci', 'merahputihcom']",positif,1
21,"['percaya', 'vaksin', 'pandemi', 'hotline', 'vaksin', 'covid', 'indonesiamaju']",positif,1
22,"['ayo', 'dukung', 'hidup', 'sehat']",positif,1
23,"['majelis', 'ulama', 'endonesia', 'psstikan', 'vaksin', 'dr', 'sinovac', 'halal']",positif,1
24,"['yuks', 'suport', 'hidup', 'had', 'tnpa', 'dngan', 'mlkukn']",positif,1
25,"['yuks', 'dkung', 'prgrm', 'vaksinasi', 'spy', 'wrga', 'sumut']",positif,1
26,"['majelis', 'ulama', 'endonesia', 'psstikan', 'vaksin', 'dr', 'sinovac', 'halal', 'dn']",positif,1
27,"['ayok', 'support', 'hidup', 'damang', 'tampa', 'dgan', 'melakukn']",positif,1
28,"['nyok', 'dkng', 'prgrm', 'vaksinasi', 'spya', 'wrga', 'sumut', 'bbs']",positif,1
29,"['mari', 'gendong', 'tata', 'olah', 'vaksinasi', 'biar', 'kelompok', 'sumut', 'sukarela']",positif,1
30,"['mari', 'bawa', 'jiwa', 'bugar', 'minus', 'ada']",positif,1
31,"['ayok', 'dkng', 'hidup', 'had', 'tampa', 'dgn', 'mlkukn']",positif,1
